,SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,TAXON_GROUP,COM_NAME_CODES,SCI_NAME_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE,EXTINCT,ebird_idx,inat_id,preferred_common_name,matched_term,name,photo_url,wikipedia_url
4162,Psilopsiagon aymara,Gray-hooded Parakeet,gyhpar1,12562,"Parrots, Parakeets, and Allies",GHPA,PSAY,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4265,73297,Gray-hooded Parakeet,Psilopsiagon aymara,Psilopsiagon aymara,https://static.inaturalist.org/photos/28272314/medium.jpg,http://en.wikipedia.org/wiki/Grey-hooded_parakeet
4163,Psilopsiagon aurifrons,Mountain Parakeet,moupar2,12563,"Parrots, Parakeets, and Allies",MOPA,PSAU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4266,73296,Mountain Parakeet,Psilopsiagon aurifrons,Psilopsiagon aurifrons,https://inaturalist-open-data.s3.amazonaws.com/photos/50860121/medium.jpg,https://en.wikipedia.org/wiki/Mountain_parakeet
4164,Bolborhynchus lineola,Barred Parakeet,barpar1,12568,"Parrots, Parakeets, and Allies",,BOLI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4267,19032,Barred Parakeet,Bolborhynchus lineola,Bolborhynchus lineola,https://static.inaturalist.org/photos/271762506/medium.jpeg,http://en.wikipedia.org/wiki/Barred_parakeet
4165,Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet,rufpar1,12571,"Parrots, Parakeets, and Allies",RFPA,BOFE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4268,19035,Rufous-fronted Parakeet,Bolborhynchus ferrugineifrons,Bolborhynchus ferrugineifrons,https://inaturalist-open-data.s3.amazonaws.com/photos/236769396/medium.jpeg,http://en.wikipedia.org/wiki/Rufous-fronted_parakeet
4166,Bolborhynchus orbygnesius,Andean Parakeet,andpar1,12572,"Parrots, Parakeets, and Allies",ANPA,BOOR,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4269,19034,Andean Parakeet,Bolborhynchus orbygnesius,Bolborhynchus orbygnesius,https://inaturalist-open-data.s3.amazonaws.com/photos/74268804/medium.jpg,http://en.wikipedia.org/wiki/Andean_parakeet
4167,Nannopsittaca panychlora,Tepui Parrotlet,teppar1,12574,"Parrots, Parakeets, and Allies",TEPA,NAPA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4270,19320,Tepui Parrotlet,Nannopsittaca panychlora,Nannopsittaca panychlora,https://static.inaturalist.org/photos/113089386/medium.jpg,http://en.wikipedia.org/wiki/Tepui_parrotlet
4168,Nannopsittaca dachilleae,Amazonian Parrotlet,amapar1,12575,"Parrots, Parakeets, and Allies",MAPA AMPA,NADA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4271,19321,Amazonian Parrotlet,Nannopsittaca dachilleae,Nannopsittaca dachilleae,https://inaturalist-open-data.s3.amazonaws.com/photos/158981228/medium.jpg,http://en.wikipedia.org/wiki/Manu_parrotlet
4169,Myiopsitta monachus,Monk Parakeet,monpar,12576,"Parrots, Parakeets, and Allies",,MYMO,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4272,19349,Monk Parakeet,Myiopsitta monachus,Myiopsitta monachus,https://inaturalist-open-data.s3.amazonaws.com/photos/101224790/medium.jpg,http://en.wikipedia.org/wiki/Monk_parakeet
4170,Brotogeris sanctithomae,Tui Parakeet,tuipar1,12582,"Parrots, Parakeets, and Allies",TUPA,BRSA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4273,19208,Tui Parakeet,Brotogeris sanctithomae,Brotogeris sanctithomae,https://static.inaturalist.org/photos/31444680/medium.jpg,http://en.wikipedia.org/wiki/Tui_parakeet
4171,Brotogeris tirica,Plain Parakeet,plapar1,12585,"Parrots, Parakeets, and Allies",PLPA,BRTI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4274,19214,Plain Parakeet,Brotogeris tirica,Brotogeris tirica,https://inaturalist-open-data.s3.amazonaws.com/photos/158896391/medium.jpg,http://en.wikipedia.org/wiki/Plain_parakeet
4172,Brotogeris versicolurus,White-winged Parakeet,whwpar,12586,"Parrots, Parakeets, and Allies",,BRVE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4275,19210,White-winged Parakeet,Brotogeris versicolurus,Brotogeris versicolurus,https://inaturalist-open-data.s3.amazonaws.com/photos/13964210/medium.jpeg,http://en.wikipedia.org/wiki/White-winged_parakeet
4173,Brotogeris chiriri,Yellow-chevroned Parakeet,yecpar,12587,"Parrots, Parakeets, and Allies",,BRCH,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4276,19215,Yellow-chevroned Parakeet,Brotogeris chiriri,Brotogeris chiriri,https://inaturalist-open-data.s3.amazonaws.com/photos/187968217/medium.jpg,http://en.wikipedia.org/wiki/Yellow-chevroned_parakeet
4174,Brotogeris pyrrhoptera,Gray-cheeked Parakeet,gycpar1,12592,"Parrots, Parakeets, and Allies",GCPA,BRPY,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4277,72570,Gray-cheeked Parakeet,Brotogeris pyrrhoptera,Brotogeris pyrrhoptera,https://inaturalist-open-data.s3.amazonaws.com/photos/395414/medium.jpg,http://en.wikipedia.org/wiki/Grey-cheeked_parakeet
4175,Brotogeris jugularis,Orange-chinned Parakeet,orcpar,12593,"Parrots, Parakeets, and Allies",,BRJU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4278,19211,Orange-chinned Parakeet,Brotogeris jugularis,Brotogeris jugularis,https://inaturalist-open-data.s3.amazonaws.com/photos/157601516/medium.jpg,http://en.wikipedia.org/wiki/Orange-chinned_parakeet
4176,Brotogeris cyanoptera,Cobalt-winged Parakeet,cowpar1,12596,"Parrots, Parakeets, and Allies",CWPA,BRCY,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4279,19212,Cobalt-winged Parakeet,Brotogeris cyanoptera,Brotogeris cyanoptera,https://inaturalist-open-data.s3.amazonaws.com/photos/1360377/medium.JPG,http://en.wikipedia.org/wiki/Cobalt-winged_parakeet
4177,Brotogeris chrysoptera,Golden-winged Parakeet,gowpar2,12600,"Parrots, Parakeets, and Allies",GWPA,BRCH,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4280,72569,Golden-winged Parakeet,Brotogeris chrysoptera,Brotogeris chrysoptera,https://inaturalist-open-data.s3.amazonaws.com/photos/157246723/medium.jpeg,http://en.wikipedia.org/wiki/Golden-winged_parakeet
4178,Pionopsitta pileata,Pileated Parrot,recpar3,12607,"Parrots, Parakeets, and Allies",PIPA,PIPI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4281,19169,Pileated Parrot,Pionopsitta pileata,Pionopsitta pileata,https://static.inaturalist.org/photos/79023048/medium.jpg,https://en.wikipedia.org/wiki/Pileated_parrot
4179,Triclaria malachitacea,Blue-bellied Parrot,blbpar4,12608,"Parrots, Parakeets, and Allies",BBPA,TRMA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4282,19341,Blue-bellied Parrot,Triclaria malachitacea,Triclaria malachitacea,https://static.inaturalist.org/photos/94088601/medium.jpeg,http://en.wikipedia.org/wiki/Blue-bellied_parrot
4180,Hapalopsittaca amazonina,Rusty-faced Parrot,rufpar2,12609,"Parrots, Parakeets, and Allies",RFPA,HAAM,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4283,19324,Rusty-faced Parrot,Hapalopsittaca amazonina,Hapalopsittaca amazonina,https://inaturalist-open-data.s3.amazonaws.com/photos/73726759/medium.jpeg,http://en.wikipedia.org/wiki/Rusty-faced_parrot
4181,Hapalopsittaca fuertesi,Indigo-winged Parrot,inwpar1,12613,"Parrots, Parakeets, and Allies",FUPA IWPA,HAFU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4284,19325,Indigo-winged Parrot,Hapalopsittaca fuertesi,Hapalopsittaca fuertesi,https://inaturalist-open-data.s3.amazonaws.com/photos/107001515/medium.jpeg,http://en.wikipedia.org/wiki/Fuertes's_parrot
4182,Hapalopsittaca pyrrhops,Red-faced Parrot,refpar2,12614,"Parrots, Parakeets, and Allies",RFPA,HAPY,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4285,19326,Red-faced Parrot,Hapalopsittaca pyrrhops,Hapalopsittaca pyrrhops,https://static.inaturalist.org/photos/106439278/medium.jpeg,http://en.wikipedia.org/wiki/Red-faced_parrot
4183,Hapalopsittaca melanotis,Black-winged Parrot,blwpar1,12615,"Parrots, Parakeets, and Allies",BWPA,HAME,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4286,19323,Black-winged Parrot,Hapalopsittaca melanotis,Hapalopsittaca melanotis,https://inaturalist-open-data.s3.amazonaws.com/photos/66329570/medium.jpg,http://en.wikipedia.org/wiki/Black-winged_parrot
4184,Pyrilia haematotis,Brown-hooded Parrot,brhpar1,12618,"Parrots, Parakeets, and Allies",BHPA,PYHA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4287,73323,Brown-hooded Parrot,Pyrilia haematotis,Pyrilia haematotis,https://inaturalist-open-data.s3.amazonaws.com/photos/64607161/medium.jpg,http://en.wikipedia.org/wiki/Brown-hooded_parrot
4185,Pyrilia pulchra,Rose-faced Parrot,rofpar2,12621,"Parrots, Parakeets, and Allies",RFPA,PYPU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4288,73324,Rose-faced Parrot,Pyrilia pulchra,Pyrilia pulchra,https://inaturalist-open-data.s3.amazonaws.com/photos/258468968/medium.jpeg,http://en.wikipedia.org/wiki/Rose-faced_parrot
4186,Pyrilia pyrilia,Saffron-headed Parrot,sahpar1,12622,"Parrots, Parakeets, and Allies",,PYPY,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4289,73323,Brown-hooded Parrot,Pyrilia haematotis,Pyrilia haematotis,https://inaturalist-open-data.s3.amazonaws.com/photos/64607161/medium.jpg,http://en.wikipedia.org/wiki/Brown-hooded_parrot
4187,Pyrilia barrabandi,Orange-cheeked Parrot,orcpar2,12623,"Parrots, Parakeets, and Allies",OCPA,PYBA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4290,73321,Orange-cheeked Parrot,Pyrilia barrabandi,Pyrilia barrabandi,https://inaturalist-open-data.s3.amazonaws.com/photos/118300227/medium.jpg,http://en.wikipedia.org/wiki/Orange-cheeked_parrot
4188,Pyrilia caica,Caica Parrot,caipar2,12626,"Parrots, Parakeets, and Allies",CAPA,PYCA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4291,73322,Caica Parrot,Pyrilia caica,Pyrilia caica,https://inaturalist-open-data.s3.amazonaws.com/photos/118300462/medium.jpg,http://en.wikipedia.org/wiki/Caica_parrot
4189,Pyrilia aurantiocephala,Bald Parrot,balpar1,12627,"Parrots, Parakeets, and Allies",BAPA,PYAU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4292,73320,Bald Parrot,Pyrilia aurantiocephala,Pyrilia aurantiocephala,https://static.inaturalist.org/photos/107082889/medium.jpeg,http://en.wikipedia.org/wiki/Bald_parrot
4190,Pyrilia vulturina,Vulturine Parrot,vulpar1,12628,"Parrots, Parakeets, and Allies",VUPA,PYVU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4293,73326,Vulturine Parrot,Pyrilia vulturina,Pyrilia vulturina,https://inaturalist-open-data.s3.amazonaws.com/photos/67532405/medium.jpeg,http://en.wikipedia.org/wiki/Vulturine_parrot
4191,Pionus fuscus,Dusky Parrot,duspar1,12630,"Parrots, Parakeets, and Allies",DUPA,PIFU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4294,19097,Dusky Parrot,Pionus fuscus,Pionus fuscus,https://inaturalist-open-data.s3.amazonaws.com/photos/118192000/medium.jpeg,http://en.wikipedia.org/wiki/Dusky_parrot
4192,Pionus sordidus,Red-billed Parrot,rebpar2,12631,"Parrots, Parakeets, and Allies",RBPA,PISO,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4295,19095,Red-billed Parrot,Pionus sordidus,Pionus sordidus,https://inaturalist-open-data.s3.amazonaws.com/photos/54296584/medium.jpg,http://en.wikipedia.org/wiki/Red-billed_parrot
4193,Pionus maximiliani,Scaly-headed Parrot,schpar1,12638,"Parrots, Parakeets, and Allies",SHPA,PIMA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4296,19094,Scaly-headed Parrot,Pionus maximiliani,Pionus maximiliani,https://inaturalist-open-data.s3.amazonaws.com/photos/314019219/medium.jpg,http://en.wikipedia.org/wiki/Scaly-headed_parrot
4194,Pionus tumultuosus,Speckle-faced Parrot,spfpar1,12643,"Parrots, Parakeets, and Allies",WCCP PCCP SFPA,PITU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4297,19098,Speckle-faced Parrot,Pionus tumultuosus,Pionus tumultuosus,https://static.inaturalist.org/photos/68390740/medium.jpeg,http://en.wikipedia.org/wiki/Speckle-faced_parrot
4195,Pionus menstruus,Blue-headed Parrot,blhpar1,12646,"Parrots, Parakeets, and Allies",BHPA BHBP,PIME,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4298,19096,Blue-headed Parrot,Pionus menstruus,Pionus menstruus,https://inaturalist-open-data.s3.amazonaws.com/photos/64477914/medium.jpg,http://en.wikipedia.org/wiki/Blue-headed_parrot
4196,Pionus senilis,White-crowned Parrot,whcpar,12651,"Parrots, Parakeets, and Allies",,PISE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4299,19100,White-crowned Parrot,Pionus senilis,Pionus senilis,https://static.inaturalist.org/photos/107425438/medium.jpeg,http://en.wikipedia.org/wiki/White-crowned_parrot
4197,Pionus chalcopterus,Bronze-winged Parrot,brwpar1,12652,"Parrots, Parakeets, and Allies",BWPA,PICH,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4300,19099,Bronze-winged Parrot,Pionus chalcopterus,Pionus chalcopterus,https://static.inaturalist.org/photos/151357216/medium.png,http://en.wikipedia.org/wiki/Bronze-winged_parrot
4198,Graydidascalus brachyurus,Short-tailed Parrot,shtpar2,12654,"Parrots, Parakeets, and Allies",STPA,GRBR,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4301,19127,Short-tailed Parrot,Graydidascalus brachyurus,Graydidascalus brachyurus,https://inaturalist-open-data.s3.amazonaws.com/photos/157315163/medium.jpeg,http://en.wikipedia.org/wiki/Short-tailed_parrot
4199,Alipiopsitta xanthops,Yellow-faced Parrot,yefpar5,12655,"Parrots, Parakeets, and Allies",YFAM YFPA,ALXA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4302,72484,Yellow-faced Parrot,Alipiopsitta xanthops,Alipiopsitta xanthops,https://inaturalist-open-data.s3.amazonaws.com/photos/275319999/medium.jpg,http://en.wikipedia.org/wiki/Yellow-faced_parrot
4200,Amazona festiva,Festive Parrot,fespar1,12656,"Parrots, Parakeets, and Allies",FEPA SFAM FEAM,AMFE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4303,18991,Festive Parrot,Amazona festiva,Amazona festiva,https://static.inaturalist.org/photos/165666525/medium.jpg,http://en.wikipedia.org/wiki/Festive_amazon
4201,Amazona vinacea,Vinaceous-breasted Parrot,vinpar1,12659,"Parrots, Parakeets, and Allies",VBAM VBPA,AMVI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4304,18986,Vinaceous-breasted Parrot,Amazona vinacea,Amazona vinacea,https://static.inaturalist.org/photos/32064638/medium.jpg,https://en.wikipedia.org/wiki/Vinaceous-breasted_amazon
4202,Amazona tucumana,Tucuman Parrot,tucpar1,12660,"Parrots, Parakeets, and Allies",TUPA TUAM,AMTU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4305,18996,Tucumán Parrot,Amazona tucumana,Amazona tucumana,https://static.inaturalist.org/photos/226964062/medium.jpeg,https://en.wikipedia.org/wiki/Tucumán_amazon
4203,Amazona pretrei,Red-spectacled Parrot,respar2,12661,"Parrots, Parakeets, and Allies",RSPA RSAM,AMPR,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4306,18987,Red-spectacled Parrot,Amazona pretrei,Amazona pretrei,https://inaturalist-open-data.s3.amazonaws.com/photos/87821405/medium.jpg,https://en.wikipedia.org/wiki/Red-spectacled_amazon
4204,Amazona viridigenalis,Red-crowned Parrot,recpar,12662,"Parrots, Parakeets, and Allies",RCAM,AMVI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4307,18976,Red-crowned Parrot,Amazona viridigenalis,Amazona viridigenalis,https://inaturalist-open-data.s3.amazonaws.com/photos/59186054/medium.jpeg,http://en.wikipedia.org/wiki/Red-crowned_amazon
4205,Amazona finschi,Lilac-crowned Parrot,licpar,12663,"Parrots, Parakeets, and Allies",LCAM,AMFI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4308,18993,Lilac-crowned Parrot,Amazona finschi,Amazona finschi,https://inaturalist-open-data.s3.amazonaws.com/photos/18413432/medium.jpg,http://en.wikipedia.org/wiki/Lilac-crowned_amazon
4206,Amazona autumnalis,Red-lored Parrot,relpar,12666,"Parrots, Parakeets, and Allies",RLAM,AMAU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4309,18990,Red-lored Parrot,Amazona autumnalis,Amazona autumnalis,https://static.inaturalist.org/photos/110438073/medium.jpeg,http://en.wikipedia.org/wiki/Red-lored_amazon
4207,Amazona dufresniana,Blue-cheeked Parrot,blcpar2,12673,"Parrots, Parakeets, and Allies",BCPA BCAM,AMDU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4310,18994,Blue-cheeked Parrot,Amazona dufresniana,Amazona dufresniana,https://inaturalist-open-data.s3.amazonaws.com/photos/187746300/medium.jpg,http://en.wikipedia.org/wiki/Blue-cheeked_amazon
4208,Amazona rhodocorytha,Red-browed Parrot,rebpar7,12674,"Parrots, Parakeets, and Allies",RBAM RBPA,AMRH,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4311,18997,Red-browed Parrot,Amazona rhodocorytha,Amazona rhodocorytha,https://inaturalist-open-data.s3.amazonaws.com/photos/210731017/medium.jpg,http://en.wikipedia.org/wiki/Red-browed_amazon
4209,Amazona arausiaca,Red-necked Parrot,renpar1,12675,"Parrots, Parakeets, and Allies",RNAM,AMAR,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4312,18981,Red-necked Parrot,Amazona arausiaca,Amazona arausiaca,https://inaturalist-open-data.s3.amazonaws.com/photos/137172423/medium.jpg,http://en.wikipedia.org/wiki/Red-necked_amazon
4210,Amazona martinicana,Martinique Parrot,marpar1,12676,"Parrots, Parakeets, and Allies",MAPA MAAM,AMMA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,True,4313,93795,Martinique Parrot,Amazona martinicana,Amazona martinicana,https://inaturalist-open-data.s3.amazonaws.com/photos/157798288/medium.png,http://en.wikipedia.org/wiki/Martinique_amazon
4211,Amazona versicolor,St. Lucia Parrot,stlpar1,12677,"Parrots, Parakeets, and Allies",SLAM,AMVE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4314,18992,St. Lucia Parrot,Amazona versicolor,Amazona versicolor,https://static.inaturalist.org/photos/7650786/medium.jpg,http://en.wikipedia.org/wiki/Saint_Lucia_amazon
4212,Amazona auropalliata,Yellow-naped Parrot,yenpar1,12678,"Parrots, Parakeets, and Allies",YNAM,AMAU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4315,18984,Yellow-naped Parrot,Amazona auropalliata,Amazona auropalliata,https://static.inaturalist.org/photos/109799570/medium.jpeg,https://en.wikipedia.org/wiki/Yellow-naped_amazon
4213,Amazona oratrix,Yellow-headed Parrot,yehpar,12682,"Parrots, Parakeets, and Allies",YHMA YHAM,AMOR,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4316,18998,Yellow-headed Parrot,Amazona oratrix,Amazona oratrix,https://static.inaturalist.org/photos/35519714/medium.jpg,http://en.wikipedia.org/wiki/Yellow-headed_amazon
4214,Amazona ochrocephala,Yellow-crowned Parrot,ywcpar,12690,"Parrots, Parakeets, and Allies",YCPA YCAM,AMOC,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4317,19003,Yellow-crowned Parrot,Amazona ochrocephala,Amazona ochrocephala,https://inaturalist-open-data.s3.amazonaws.com/photos/157588192/medium.jpg,http://en.wikipedia.org/wiki/Yellow-crowned_amazon
4215,Amazona barbadensis,Yellow-shouldered Parrot,yespar1,12695,"Parrots, Parakeets, and Allies",YSPA YSAM,AMBA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4318,19002,Yellow-shouldered Parrot,Amazona barbadensis,Amazona barbadensis,https://static.inaturalist.org/photos/49675199/medium.jpg,http://en.wikipedia.org/wiki/Yellow-shouldered_amazon
4216,Amazona aestiva,Turquoise-fronted Parrot,bufpar,12696,"Parrots, Parakeets, and Allies",TFPA TFAM,AMAE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4319,18978,Turquoise-fronted Parrot,Amazona aestiva,Amazona aestiva,https://inaturalist-open-data.s3.amazonaws.com/photos/167963315/medium.jpg,https://en.wikipedia.org/wiki/Turquoise-fronted_amazon
4217,Amazona agilis,Black-billed Parrot,blbpar1,12699,"Parrots, Parakeets, and Allies",BBAM,AMAG,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4320,18989,Black-billed Parrot,Amazona agilis,Amazona agilis,https://inaturalist-open-data.s3.amazonaws.com/photos/16269888/medium.jpg,http://en.wikipedia.org/wiki/Black-billed_amazon
4218,Amazona albifrons,White-fronted Parrot,whfpar1,12700,"Parrots, Parakeets, and Allies",WFAM,AMAL,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4321,18995,White-fronted Parrot,Amazona albifrons,Amazona albifrons,https://inaturalist-open-data.s3.amazonaws.com/photos/127114372/medium.jpg,http://en.wikipedia.org/wiki/White-fronted_amazon
4219,Amazona xantholora,Yellow-lored Parrot,yelpar1,12704,"Parrots, Parakeets, and Allies",YUAM YLAM,AMXA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4322,18977,Yellow-lored Parrot,Amazona xantholora,Amazona xantholora,https://inaturalist-open-data.s3.amazonaws.com/photos/355969665/medium.jpeg,http://en.wikipedia.org/wiki/Yucatan_amazon
4220,Amazona collaria,Yellow-billed Parrot,yebpar1,12705,"Parrots, Parakeets, and Allies",YBAM,AMCO,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4323,18979,Yellow-billed Parrot,Amazona collaria,Amazona collaria,https://inaturalist-open-data.s3.amazonaws.com/photos/12449103/medium.jpg,http://en.wikipedia.org/wiki/Yellow-billed_amazon
4221,Amazona leucocephala,Cuban Parrot,cubpar1,12707,"Parrots, Parakeets, and Allies",CUPA CUAM,AMLE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4324,18988,Cuban Parrot,Amazona leucocephala,Amazona leucocephala,https://inaturalist-open-data.s3.amazonaws.com/photos/16664274/medium.jpg,http://en.wikipedia.org/wiki/Cuban_amazon
4222,Amazona ventralis,Hispaniolan Parrot,hispar1,12713,"Parrots, Parakeets, and Allies",HIAM HIPA,AMVE,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4325,18983,Hispaniolan Parrot,Amazona ventralis,Amazona ventralis,https://inaturalist-open-data.s3.amazonaws.com/photos/64465180/medium.jpg,http://en.wikipedia.org/wiki/Hispaniolan_amazon
4223,Amazona vittata,Puerto Rican Parrot,purpar1,12714,"Parrots, Parakeets, and Allies",PRPA PRAM,AMVI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4326,19006,Puerto Rican Parrot,Amazona vittata,Amazona vittata,https://inaturalist-open-data.s3.amazonaws.com/photos/157591938/medium.jpg,http://en.wikipedia.org/wiki/Puerto_Rican_amazon
4224,Amazona farinosa,Mealy Parrot,meapar,12717,"Parrots, Parakeets, and Allies",SMAM MEAM MEPA NMAM,AMFA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4327,19005,Mealy Parrot,Amazona farinosa,Amazona farinosa,https://static.inaturalist.org/photos/40998489/medium.jpg,http://en.wikipedia.org/wiki/Southern_mealy_amazon
4225,Amazona kawalli,Kawall's Parrot,kawpar1,12722,"Parrots, Parakeets, and Allies",KAPA KAAM WFAM,AMKA,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4328,18999,Kawall's Parrot,Amazona kawalli,Amazona kawalli,https://inaturalist-open-data.s3.amazonaws.com/photos/157587156/medium.jpg,http://en.wikipedia.org/wiki/Kawall's_amazon
4226,Amazona imperialis,Imperial Parrot,imppar1,12723,"Parrots, Parakeets, and Allies",IMAM,AMIM,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4329,19001,Imperial Parrot,Amazona imperialis,Amazona imperialis,https://static.inaturalist.org/photos/66180650/medium.jpg,http://en.wikipedia.org/wiki/Imperial_amazon
4227,Amazona violacea,Guadeloupe Parrot,guapar1,12724,"Parrots, Parakeets, and Allies",GUPA GUAM,AMVI,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,True,4330,93796,Guadeloupe Parrot,Amazona violacea,Amazona violacea,https://inaturalist-open-data.s3.amazonaws.com/photos/157802455/medium.png,http://en.wikipedia.org/wiki/Guadeloupe_amazon
4228,Amazona brasiliensis,Red-tailed Parrot,retpar1,12725,"Parrots, Parakeets, and Allies",RTAM RTPA,AMBR,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4331,18980,Red-tailed Parrot,Amazona brasiliensis,Amazona brasiliensis,https://inaturalist-open-data.s3.amazonaws.com/photos/145956943/medium.jpg,http://en.wikipedia.org/wiki/Red-tailed_amazon
4229,Amazona guildingii,St. Vincent Parrot,stvpar1,12726,"Parrots, Parakeets, and Allies",SVAM,AMGU,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4332,19000,St. Vincent Parrot,Amazona guildingii,Amazona guildingii,https://inaturalist-open-data.s3.amazonaws.com/photos/256246154/medium.jpeg,http://en.wikipedia.org/wiki/Saint_Vincent_amazon
4230,Amazona amazonica,Orange-winged Parrot,orwpar,12727,"Parrots, Parakeets, and Allies",OWPA OWAM,AMAM,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4333,18982,Orange-winged Parrot,Amazona amazonica,Amazona amazonica,https://static.inaturalist.org/photos/163654110/medium.jpg,http://en.wikipedia.org/wiki/Orange-winged_amazon
4231,Amazona mercenarius,Scaly-naped Parrot,scnpar1,12730,"Parrots, Parakeets, and Allies",SNAM SNPA,AMME,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4334,144265,Scaly-naped Parrot,Amazona mercenarius,Amazona mercenarius,https://inaturalist-open-data.s3.amazonaws.com/photos/10645093/medium.jpeg,http://en.wikipedia.org/wiki/Scaly-naped_amazon
4232,Forpus modestus,Dusky-billed Parrotlet,dubpar1,12734,"Parrots, Parakeets, and Allies",DBPA,FOMO,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4335,72865,Dusky-billed Parrotlet,Forpus modestus,Forpus modestus,https://static.inaturalist.org/photos/70512681/medium.jpg,http://en.wikipedia.org/wiki/Dusky-billed_parrotlet
4233,Forpus cyanopygius,Mexican Parrotlet,mexpar1,12737,"Parrots, Parakeets, and Allies",MEPA,FOCY,Psittaciformes,New World and African Parrots,Psittacidae,psitta3,,4336,19067,Mexican Parrotlet,Forpus cyanopygius,Forpus cyanopygius,https://static.inaturalist.org/photos/79217313/medium.jpeg,http://en.wikipedia.org/wiki/Mexican_parrotlet
