,SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,TAXON_ORDER,TAXON_GROUP,COM_NAME_CODES,SCI_NAME_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE,EXTINCT,ebird_idx,inat_id,preferred_common_name,matched_term,name,photo_url,wikipedia_url
1555,Lampornis calolaemus,Purple-throated Mountain-gem,ptmgem,4732,Hummingbirds,PTMO,LACA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1594,5840,Purple-throated Mountain-gem,Lampornis calolaemus,Lampornis calolaemus,https://inaturalist-open-data.s3.amazonaws.com/photos/135342/medium.jpg,http://en.wikipedia.org/wiki/Purple-throated_mountaingem
1556,Lampornis castaneoventris,White-throated Mountain-gem,wtmgem1,4736,Hummingbirds,WTTM,LACA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1595,5831,White-throated Mountain-gem,Lampornis castaneoventris,Lampornis castaneoventris,https://inaturalist-open-data.s3.amazonaws.com/photos/399541/medium.jpg,http://en.wikipedia.org/wiki/White-throated_mountaingem
1557,Lamprolaima rhami,Garnet-throated Hummingbird,gathum1,4741,Hummingbirds,GTHU,LARH,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1596,6437,Garnet-throated Hummingbird,Lamprolaima rhami,Lamprolaima rhami,https://inaturalist-open-data.s3.amazonaws.com/photos/26688950/medium.jpeg,http://en.wikipedia.org/wiki/Garnet-throated_hummingbird
1558,Tilmatura dupontii,Sparkling-tailed Hummingbird,spthum1,4742,Hummingbirds,STHU STWO,TIDU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1597,6460,Sparkling-tailed Hummingbird,Tilmatura dupontii,Tilmatura dupontii,https://inaturalist-open-data.s3.amazonaws.com/photos/117525354/medium.jpg,http://en.wikipedia.org/wiki/Sparkling-tailed_woodstar
1559,Calliphlox amethystina,Amethyst Woodstar,amewoo1,4743,Hummingbirds,AMWO,CAAM,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1598,6331,Amethyst Woodstar,Calliphlox amethystina,Calliphlox amethystina,https://inaturalist-open-data.s3.amazonaws.com/photos/27919001/medium.jpeg,http://en.wikipedia.org/wiki/Amethyst_woodstar
1560,Thaumastura cora,Peruvian Sheartail,pershe2,4744,Hummingbirds,PESH,THCO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1599,6516,Peruvian Sheartail,Thaumastura cora,Thaumastura cora,https://inaturalist-open-data.s3.amazonaws.com/photos/146723078/medium.jpg,http://en.wikipedia.org/wiki/Peruvian_sheartail
1561,Myrmia micrura,Short-tailed Woodstar,shtwoo1,4745,Hummingbirds,STWO,MYMI,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1600,6480,Short-tailed Woodstar,Myrmia micrura,Myrmia micrura,https://static.inaturalist.org/photos/29458805/medium.jpg,http://en.wikipedia.org/wiki/Short-tailed_woodstar
1562,Myrtis fanny,Purple-collared Woodstar,pucwoo1,4746,Hummingbirds,PCWO,MYFA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1601,6052,Purple-collared Woodstar,Myrtis fanny,Myrtis fanny,https://inaturalist-open-data.s3.amazonaws.com/photos/1387625/medium.jpg,http://en.wikipedia.org/wiki/Purple-collared_woodstar
1563,Rhodopis vesper,Oasis Hummingbird,oashum1,4749,Hummingbirds,OAHU,RHVE,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1602,6309,Oasis Hummingbird,Rhodopis vesper,Rhodopis vesper,https://inaturalist-open-data.s3.amazonaws.com/photos/202544001/medium.jpg,http://en.wikipedia.org/wiki/Oasis_hummingbird
1564,Eulidia yarrellii,Chilean Woodstar,chiwoo1,4753,Hummingbirds,CHWO,EUYA,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1603,6337,Chilean Woodstar,Eulidia yarrellii,Eulidia yarrellii,https://inaturalist-open-data.s3.amazonaws.com/photos/11509745/medium.jpg,http://en.wikipedia.org/wiki/Chilean_woodstar
1565,Microstilbon burmeisteri,Slender-tailed Woodstar,sltwoo1,4755,Hummingbirds,STWO,MIBU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1604,6314,Slender-tailed Woodstar,Microstilbon burmeisteri,Microstilbon burmeisteri,https://inaturalist-open-data.s3.amazonaws.com/photos/11510005/medium.jpg,https://en.wikipedia.org/wiki/Slender-tailed_woodstar
1566,Chaetocercus mulsant,White-bellied Woodstar,whbwoo6,4756,Hummingbirds,WBWO,CHMU,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1605,6181,White-bellied Woodstar,Chaetocercus mulsant,Chaetocercus mulsant,https://inaturalist-open-data.s3.amazonaws.com/photos/567467/medium.jpg,http://en.wikipedia.org/wiki/White-bellied_woodstar
1567,Chaetocercus bombus,Little Woodstar,litwoo5,4757,Hummingbirds,LIWO,CHBO,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1606,6186,Little Woodstar,Chaetocercus bombus,Chaetocercus bombus,https://static.inaturalist.org/photos/147658512/medium.jpg,http://en.wikipedia.org/wiki/Little_woodstar
1568,Chaetocercus heliodor,Gorgeted Woodstar,gorwoo2,4758,Hummingbirds,GOWO,CHHE,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1607,6182,Gorgeted Woodstar,Chaetocercus heliodor,Chaetocercus heliodor,https://static.inaturalist.org/photos/50902376/medium.jpeg,http://en.wikipedia.org/wiki/Gorgeted_woodstar
1569,Chaetocercus astreans,Santa Marta Woodstar,samwoo2,4761,Hummingbirds,SMWO,CHAS,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1,,1608,6185,Santa Marta Woodstar,Chaetocercus astreans,Chaetocercus astreans,https://inaturalist-open-data.s3.amazonaws.com/photos/280358067/medium.jpeg,http://en.wikipedia.org/wiki/Santa_Marta_woodstar
